t;x;y;
0.000;1.100E-2;0.299
0.017;1.629E-2;0.298
0.033;2.433E-2;0.296
0.050;3.358E-2;0.294
0.067;4.502E-2;0.292
0.083;5.790E-2;0.289
0.100;7.180E-2;0.286
0.117;8.839E-2;0.282
0.133;0.106;0.278
0.150;0.125;0.273
0.167;0.147;0.267
0.183;0.169;0.258
0.200;0.194;0.248
0.217;0.222;0.237
0.233;0.257;0.227
0.250;0.291;0.213
0.267;0.327;0.198
0.283;0.364;0.183
0.300;0.405;0.171
0.317;0.450;0.163
0.333;0.498;0.160
0.350;0.542;0.164
0.367;0.587;0.174
0.383;0.627;0.187
0.400;0.665;0.199
0.417;0.702;0.210
0.433;0.741;0.218
0.450;0.776;0.224
0.467;0.812;0.228
0.483;0.847;0.231
0.500;0.881;0.233
0.517;0.916;0.233
0.533;0.952;0.230
0.550;0.987;0.223
0.567;1.023;0.216
0.583;1.061;0.203
0.600;1.101;0.183
0.617;1.142;0.166
0.633;1.191;0.161
0.650;1.238;0.165
0.667;1.282;0.174
0.683;1.324;0.185
