t;x;y;
0.000;-9.927E-3;0.307
0.033;-1.031E-2;0.306
0.067;-9.501E-3;0.306
0.100;-4.840E-3;0.305
0.133;2.483E-4;0.303
0.167;5.759E-3;0.302
0.200;1.368E-2;0.300
0.233;2.306E-2;0.298
0.267;3.483E-2;0.296
0.300;4.810E-2;0.293
0.333;6.263E-2;0.290
0.367;7.958E-2;0.286
0.400;9.827E-2;0.281
0.433;0.119;0.276
0.467;0.140;0.270
0.500;0.165;0.262
0.533;0.192;0.252
0.567;0.221;0.240
0.600;0.251;0.227
0.633;0.286;0.213
0.667;0.322;0.198
0.700;0.360;0.186
0.733;0.400;0.169
0.767;0.448;0.164
0.800;0.494;0.161
0.833;0.540;0.166
0.867;0.580;0.176
0.900;0.621;0.188
0.933;0.659;0.201
0.967;0.695;0.211
1.000;0.733;0.218
1.033;0.768;0.224
1.067;0.802;0.228
1.100;0.837;0.231
1.133;0.870;0.233
1.166;0.904;0.233
1.200;0.942;0.229
1.233;0.975;0.225
1.266;1.012;0.215
1.300;1.049;0.202
1.333;1.082;0.186
1.366;1.131;0.171
1.400;1.176;0.166
1.433;1.222;0.168
1.466;1.267;0.176
1.500;1.310;0.183
