t;x;y;
0.000;-3.474E-3;0.306
0.017;3.994E-4;0.305
0.033;6.071E-3;0.304
0.050;1.360E-2;0.302
0.067;2.210E-2;0.300
0.083;3.270E-2;0.298
0.100;4.469E-2;0.296
0.117;5.740E-2;0.293
0.133;7.277E-2;0.290
0.150;8.914E-2;0.286
0.167;0.108;0.281
0.183;0.128;0.276
0.200;0.151;0.269
0.217;0.179;0.262
0.233;0.204;0.250
0.250;0.234;0.238
0.267;0.264;0.225
0.283;0.299;0.210
0.300;0.336;0.195
0.317;0.376;0.177
0.333;0.417;0.170
0.350;0.461;0.165
0.367;0.507;0.166
0.383;0.558;0.172
0.400;0.598;0.182
0.417;0.637;0.195
0.433;0.675;0.206
0.450;0.712;0.216
0.467;0.749;0.223
0.483;0.784;0.228
0.500;0.818;0.232
0.517;0.853;0.234
0.533;0.886;0.235
0.550;0.921;0.235
0.567;0.956;0.231
0.583;0.991;0.223
0.600;1.029;0.211
0.617;1.068;0.197
0.633;1.106;0.182
0.650;1.152;0.168
0.667;1.196;0.165
0.683;1.242;0.170
0.700;1.284;0.179
