;kule 8;;
t;x;y;
0,000;-1,557E-2;0,310
0,017;-1,453E-2;0,310
0,033;-1,305E-2;0,310
0,050;-7,048E-3;0,305
0,067;-3,640E-3;0,305
0,083;3,844E-3;0,303
0,100;1,398E-2;0,301
0,117;2,506E-2;0,298
0,133;3,857E-2;0,296
0,150;5,296E-2;0,292
0,167;6,905E-2;0,289
0,183;8,723E-2;0,285
0,200;0,107;0,280
0,217;0,129;0,274
0,233;0,153;0,268
0,250;0,179;0,260
0,267;0,206;0,248
0,283;0,236;0,236
0,300;0,269;0,221
0,317;0,305;0,206
0,333;0,343;0,191
0,350;0,388;0,179
0,367;0,433;0,169
0,383;0,477;0,160
0,400;0,521;0,162
0,417;0,569;0,179
0,433;0,611;0,191
0,450;0,650;0,204
0,467;0,689;0,216
0,483;0,725;0,225
0,500;0,761;0,230
0,517;0,796;0,235
0,533;0,830;0,239
0,550;0,865;0,241
0,567;0,898;0,241
0,583;0,937;0,237
0,600;0,971;0,230
0,617;1,008;0,220
0,633;1,046;0,208
0,650;1,084;0,193
0,667;1,125;0,178
0,683;1,171;0,166
0,700;1,217;0,166
0,717;1,262;0,173
0,733;1,306;0,183
