t;x;y;
0.000;-2.203E-2;0.303
0.033;-1.695E-2;0.303
0.067;-1.017E-2;0.302
0.100;-2.124E-3;0.300
0.133;1.017E-2;0.298
0.167;2.210E-2;0.296
0.200;3.541E-2;0.293
0.233;4.992E-2;0.290
0.267;6.702E-2;0.286
0.300;8.585E-2;0.282
0.333;0.106;0.277
0.367;0.128;0.271
0.400;0.152;0.264
0.433;0.176;0.256
0.467;0.205;0.242
0.500;0.235;0.230
0.533;0.269;0.215
0.567;0.305;0.201
0.600;0.343;0.185
0.633;0.385;0.171
0.667;0.430;0.161
0.700;0.476;0.159
0.733;0.522;0.163
0.767;0.568;0.173
0.800;0.609;0.185
0.833;0.648;0.198
0.867;0.686;0.210
0.900;0.722;0.220
0.933;0.757;0.226
0.967;0.792;0.230
1.000;0.827;0.234
1.033;0.861;0.235
1.067;0.895;0.235
1.100;0.929;0.231
1.133;0.966;0.227
1.166;1.002;0.217
1.200;1.040;0.204
1.233;1.078;0.188
1.266;1.124;0.171
1.300;1.169;0.164
1.333;1.216;0.167
1.366;1.260;0.175
1.400;1.303;0.183
