;kule;;
t;x;y;
0,000;-9,421E-3;0,308
0,017;-9,421E-3;0,306
0,033;-2,679E-3;0,306
0,050;9,120E-3;0,306
0,067;1,586E-2;0,305
0,083;2,429E-2;0,300
0,100;3,777E-2;0,296
0,117;5,126E-2;0,295
0,133;6,474E-2;0,291
0,150;8,329E-2;0,288
0,167;0,102;0,283
0,183;0,121;0,278
0,200;0,144;0,271
0,217;0,166;0,264
0,233;0,193;0,254
0,250;0,219;0,242
0,267;0,251;0,229
0,283;0,282;0,217
0,300;0,319;0,202
0,317;0,360;0,185
0,333;0,404;0,171
0,350;0,448;0,165
0,367;0,493;0,163
0,383;0,540;0,166
0,400;0,582;0,182
0,417;0,623;0,197
0,433;0,661;0,209
0,450;0,696;0,219
0,467;0,736;0,225
0,483;0,770;0,231
0,500;0,805;0,235
0,517;0,839;0,238
0,533;0,873;0,240
0,550;0,906;0,237
0,567;0,943;0,234
0,583;0,973;0,230
0,600;1,009;0,220
0,617;1,049;0,206
0,633;1,088;0,187
0,650;1,132;0,171
0,667;1,174;0,166
0,683;1,220;0,170
0,700;1,263;0,177
0,717;1,309;0,193
